team,american_odds,source
Spain,450,SI/FanDuel June 2026
France,470,SI/FanDuel June 2026
England,650,SI/FanDuel June 2026
Brazil,850,SI/FanDuel June 2026
Portugal,900,SI/FanDuel June 2026
Argentina,950,SI/FanDuel June 2026
Germany,1400,SI/FanDuel June 2026
Netherlands,1700,SI/FanDuel June 2026
Belgium,2200,SI/FanDuel June 2026
Norway,3300,SI/FanDuel June 2026
Japan,3500,SI/FanDuel June 2026
Colombia,4000,SI/FanDuel June 2026
United States,5000,SI/FanDuel June 2026
Morocco,5500,SI/FanDuel June 2026
Mexico,5500,SI/FanDuel June 2026
Uruguay,5500,SI/FanDuel June 2026
Switzerland,7500,SI/FanDuel June 2026
Turkey,8000,SI/FanDuel June 2026
Croatia,8000,SI/FanDuel June 2026
Ecuador,8000,SI/FanDuel June 2026
Austria,10000,SI/FanDuel June 2026
Senegal,15000,SI/FanDuel June 2026
Canada,17500,SI/FanDuel June 2026
Sweden,17500,SI/FanDuel June 2026
Scotland,17500,SI/FanDuel June 2026
Ivory Coast,20000,SI/FanDuel June 2026
Paraguay,20000,SI/FanDuel June 2026
Algeria,25000,SI/FanDuel June 2026
Egypt,40000,SI/FanDuel June 2026
Ghana,40000,SI/FanDuel June 2026
South Korea,40000,SI/FanDuel June 2026
Czech Republic,50000,SI/FanDuel June 2026
Iran,50000,SI/FanDuel June 2026
Bosnia and Herzegovina,50000,SI/FanDuel June 2026
Tunisia,150000,SI/FanDuel June 2026
Cape Verde,250000,SI/FanDuel June 2026
Uzbekistan,250000,SI/FanDuel June 2026
Haiti,250000,SI/FanDuel June 2026
Panama,250000,SI/FanDuel June 2026
Curaçao,250000,SI/FanDuel June 2026
Qatar,250000,SI/FanDuel June 2026
Saudi Arabia,250000,SI/FanDuel June 2026
New Zealand,250000,SI/FanDuel June 2026
Australia,250000,SI/FanDuel June 2026
DR Congo,250000,SI/FanDuel June 2026
Iraq,250000,SI/FanDuel June 2026
Jordan,250000,SI/FanDuel June 2026
South Africa,250000,SI/FanDuel June 2026
