team,england,spain,italy,germany,france,portugal,netherlands,brazil,argentina,other_europe,domestic,total_squad
France,12,4,3,1,3,0,0,0,0,3,0,26
England,22,1,0,1,0,0,0,0,0,2,0,26
Spain,3,14,2,1,1,0,0,0,0,3,2,26
Portugal,3,3,2,1,2,7,0,0,0,2,6,26
Germany,2,2,2,16,0,0,0,0,0,2,2,26
Brazil,4,3,3,1,2,2,0,5,0,4,2,26
Netherlands,2,2,2,3,1,0,8,0,0,4,4,26
Argentina,3,3,4,1,2,1,0,0,4,4,4,26
Norway,5,2,1,2,1,0,1,0,0,6,8,26
Belgium,5,2,2,3,2,0,1,0,0,5,6,26
Ivory Coast,3,1,2,1,4,1,2,0,0,6,6,26
Morocco,3,3,3,1,5,0,1,0,0,4,6,26
Senegal,4,1,2,1,5,1,0,0,0,6,6,26
Turkey,2,0,1,2,2,0,0,0,0,3,16,26
Sweden,2,1,2,2,1,0,2,0,0,6,8,26
Uruguay,2,3,2,0,1,2,0,2,3,3,8,26
Croatia,2,2,3,2,1,0,0,0,0,8,8,26
United States,6,1,2,3,1,0,1,0,0,2,10,26
Ecuador,2,1,2,1,1,1,0,2,1,3,12,26
Switzerland,2,1,2,4,1,0,0,0,0,8,8,26
Colombia,2,2,2,1,2,1,0,3,2,3,8,26
Japan,3,3,3,4,2,0,1,0,0,4,6,26
Austria,1,0,2,6,1,0,0,0,0,8,8,26
Algeria,1,1,2,0,6,1,0,0,0,5,10,26
Ghana,2,1,2,2,2,1,1,0,0,5,10,26
Canada,5,1,1,2,2,0,0,0,0,5,10,26
Mexico,1,2,1,1,1,1,1,0,0,2,16,26
Czech Republic,2,1,3,2,1,0,0,0,0,9,8,26
Scotland,10,0,1,1,0,0,0,0,0,4,10,26
Paraguay,0,1,1,0,1,1,0,2,6,2,12,26
Bosnia and Herzegovina,0,0,3,2,1,0,0,0,0,10,10,26
DR Congo,1,0,1,1,4,0,1,0,0,8,10,26
South Korea,3,2,1,2,1,0,1,0,0,4,12,26
Egypt,2,1,1,1,2,1,0,0,0,4,14,26
Australia,3,2,1,1,0,0,0,0,0,5,14,26
Uzbekistan,0,0,0,0,1,0,0,0,0,6,19,26
Tunisia,1,1,1,1,3,0,0,0,0,6,13,26
Cape Verde,1,1,0,0,3,5,1,0,0,6,9,26
Haiti,0,0,0,0,4,0,0,1,0,4,17,26
South Africa,1,0,0,0,1,0,0,0,0,2,22,26
Saudi Arabia,0,0,0,0,0,0,0,0,0,2,24,26
New Zealand,1,0,0,0,0,0,0,0,0,5,20,26
Panama,0,0,0,0,0,0,0,0,0,4,22,26
Iran,1,0,1,0,0,1,1,0,0,4,18,26
Iraq,0,0,0,0,0,0,0,0,0,4,22,26
Qatar,0,0,0,0,0,0,0,0,0,1,25,26
Jordan,0,0,0,0,0,0,0,0,0,3,23,26
Curaçao,1,0,1,0,0,1,5,0,0,4,14,26
