team,population_m
Algeria,46.8
Argentina,46.6
Australia,27.1
Austria,9.2
Belgium,11.7
Bosnia and Herzegovina,3.2
Brazil,216.4
Canada,41.0
Cape Verde,0.6
Colombia,52.7
Croatia,3.8
Curaçao,0.15
Czech Republic,10.9
DR Congo,109.3
Ecuador,18.2
Egypt,112.7
England,57.1
France,68.2
Germany,84.5
Ghana,34.1
Haiti,11.7
Iran,89.2
Iraq,44.5
Ivory Coast,29.4
Japan,123.3
Jordan,11.6
Mexico,130.2
Morocco,37.8
Netherlands,17.9
New Zealand,5.3
Norway,5.6
Panama,4.5
Paraguay,6.9
Portugal,10.4
Qatar,2.7
Saudi Arabia,37.5
Scotland,5.5
Senegal,18.4
South Africa,62.0
South Korea,51.7
Spain,48.6
Sweden,10.6
Switzerland,9.0
Tunisia,12.5
Turkey,86.3
United States,340.1
Uruguay,3.4
Uzbekistan,36.4
