team,avg_age
Ivory Coast,25.35
Ecuador,25.58
Bosnia and Herzegovina,25.92
Morocco,25.92
Tunisia,26.15
Spain,26.19
Norway,26.35
South Africa,26.35
Canada,26.42
Ghana,26.42
United States,26.42
Algeria,26.46
France,26.58
England,26.62
Senegal,26.62
Iraq,26.65
Australia,26.88
Sweden,27.00
Haiti,27.08
Belgium,27.12
Japan,27.19
Czech Republic,27.23
Turkey,27.23
Netherlands,27.27
South Korea,27.46
Mexico,27.50
Portugal,27.54
Germany,27.54
Curaçao,27.54
New Zealand,27.62
Switzerland,27.81
Croatia,27.88
Saudi Arabia,27.96
Uzbekistan,27.96
Jordan,28.08
Austria,28.12
Uruguay,28.19
DR Congo,28.50
Paraguay,28.54
Argentina,28.62
Brazil,28.65
Egypt,28.69
Scotland,28.73
Qatar,28.92
Cape Verde,29.23
Colombia,29.58
Iran,29.81
Panama,30.00
