team,value_m_gbp,rank
France,1320,1
England,1130,2
Spain,1090,3
Portugal,880,4
Germany,862.97,5
Brazil,788.78,6
Netherlands,723.93,7
Argentina,707.76,8
Norway,519.68,9
Belgium,469.45,10
Ivory Coast,459.07,11
Morocco,422.15,12
Senegal,408.92,13
Turkey,408.74,14
Sweden,370.25,15
Uruguay,350.9,16
Croatia,333.51,17
United States,327.03,18
Ecuador,325.3,19
Switzerland,288.46,20
Colombia,263.95,21
Japan,241.16,22
Austria,234.94,23
Algeria,222.75,24
Ghana,199.64,25
Canada,175.58,26
Mexico,168.27,27
Czech Republic,164.45,28
Scotland,152.39,29
Paraguay,135.89,30
Bosnia and Herzegovina,129.04,31
DR Congo,128.91,32
South Korea,123.07,33
Egypt,116.48,34
Australia,63.7,35
Uzbekistan,60.74,36
Tunisia,60.06,37
Cape Verde,48.59,38
Haiti,48.09,39
South Africa,39.61,40
Saudi Arabia,32.09,41
New Zealand,30.57,42
Panama,30.12,43
Iran,28.24,44
Curaçao,22.51,45
Iraq,18.21,46
Qatar,17.24,47
Jordan,16.89,48
